# Group	 Points	 X-coord	 Y-coord	 Z-coord
1	575	0.159901	0.015884	0
1	576	0.159774	0.016004	0
1	577	0.159647	0.015997	0
1	578	0.15952	0.01599	0
1	579	0.159393	0.01611	0
1	580	0.159266	0.016104	0
1	581	0.159139	0.016097	0
1	582	0.159011	0.016217	0
1	583	0.158884	0.01621	0
1	584	0.158757	0.016204	0
1	585	0.15863	0.016324	0
1	586	0.158503	0.016317	0
1	587	0.158376	0.016311	0
1	588	0.158249	0.016304	0
1	589	0.158122	0.016424	0
1	590	0.157995	0.016418	0
1	591	0.157867	0.016411	0
1	592	0.15774	0.016531	0
1	593	0.157613	0.016525	0
1	594	0.157486	0.016518	0
1	595	0.157359	0.016512	0
1	596	0.157232	0.016505	0
1	597	0.157105	0.016626	0
1	598	0.156978	0.016619	0
1	599	0.156851	0.016613	0
1	600	0.156724	0.016606	0
1	601	0.156596	0.016727	0
1	602	0.156469	0.016721	0
1	603	0.156342	0.016714	0
1	604	0.156215	0.016708	0
1	605	0.156088	0.016702	0
1	606	0.155961	0.016822	0
1	607	0.155834	0.016816	0
1	608	0.155707	0.01681	0
1	609	0.15558	0.016804	0
1	610	0.155452	0.016924	0
1	611	0.155325	0.016918	0
1	612	0.155198	0.016912	0
1	613	0.155071	0.016906	0
1	614	0.154944	0.017027	0
1	615	0.154817	0.017021	0
1	616	0.15469	0.017014	0
1	617	0.154563	0.017008	0
1	618	0.154436	0.017129	0
1	619	0.154308	0.017123	0
1	620	0.154181	0.017117	0
1	621	0.154054	0.017238	0
1	622	0.153927	0.017232	0
1	623	0.1538	0.017226	0
1	624	0.153673	0.017348	0
1	625	0.153546	0.017342	0
1	626	0.153419	0.017336	0
1	627	0.153292	0.01733	0
1	628	0.153164	0.017451	0
1	629	0.153037	0.017445	0
1	630	0.15291	0.017566	0
1	631	0.152783	0.017561	0
1	632	0.152656	0.017555	0
1	633	0.152529	0.017676	0
1	634	0.152402	0.01767	0
1	635	0.152275	0.017664	0
1	636	0.152148	0.017786	0
1	637	0.152021	0.01778	0
1	638	0.151893	0.017774	0
1	639	0.151766	0.017896	0
1	640	0.151639	0.01789	0
1	641	0.151512	0.018012	0
1	642	0.151385	0.018006	0
1	643	0.151258	0.018001	0
1	644	0.151131	0.017995	0
1	645	0.151004	0.018117	0
1	646	0.150877	0.018111	0
1	647	0.150749	0.018105	0
1	648	0.150622	0.0181	0
1	649	0.150495	0.018095	0
1	650	0.150368	0.018216	0
1	651	0.150241	0.018211	0
1	652	0.150114	0.018205	0
1	653	0.149987	0.0182	0
1	654	0.14986	0.018322	0
1	655	0.149733	0.018316	0
1	656	0.149605	0.018311	0
1	657	0.149478	0.018433	0
1	658	0.149351	0.018427	0
1	659	0.149224	0.018422	0
1	660	0.149097	0.018544	0
1	661	0.14897	0.018539	0
1	662	0.148843	0.018534	0
1	663	0.148716	0.018528	0
1	664	0.148589	0.01865	0
1	665	0.148462	0.018645	0
1	666	0.148334	0.01864	0
1	667	0.148207	0.018635	0
1	668	0.14808	0.01863	0
1	669	0.147953	0.018752	0
1	670	0.147826	0.018747	0
1	671	0.147699	0.018742	0
1	672	0.147572	0.018737	0
1	673	0.147445	0.018732	0
1	674	0.147318	0.018727	0
1	675	0.14719	0.018849	0
1	676	0.147063	0.018844	0
1	677	0.146936	0.018839	0
1	678	0.146809	0.018834	0
1	679	0.146682	0.018829	0
1	680	0.146555	0.018824	0
1	681	0.146428	0.018947	0
1	682	0.146301	0.018942	0
1	683	0.146174	0.018937	0
1	684	0.146046	0.018932	0
1	685	0.145919	0.018928	0
1	686	0.145792	0.01905	0
1	687	0.145665	0.019045	0
1	688	0.145538	0.019041	0
1	689	0.145411	0.019036	0
1	690	0.145284	0.019158	0
1	691	0.145157	0.019154	0
1	692	0.14503	0.019149	0
1	693	0.144903	0.019144	0
1	694	0.144775	0.019267	0
1	695	0.144648	0.019262	0
1	696	0.144521	0.019258	0
1	697	0.144394	0.019253	0
1	698	0.144267	0.019249	0
1	699	0.14414	0.019372	0
1	700	0.144013	0.019367	0
1	701	0.143886	0.019363	0
1	702	0.143759	0.019358	0
1	703	0.143631	0.019481	0
1	704	0.143504	0.019477	0
1	705	0.143377	0.019472	0
1	706	0.14325	0.019468	0
1	707	0.143123	0.019464	0
1	708	0.142996	0.019586	0
1	709	0.142869	0.019582	0
1	710	0.142742	0.019578	0
1	711	0.142615	0.019574	0
1	712	0.142487	0.019696	0
1	713	0.14236	0.019692	0
1	714	0.142233	0.019688	0
1	715	0.142106	0.019684	0
1	716	0.141979	0.019807	0
1	717	0.141852	0.019803	0
1	718	0.141725	0.019799	0
1	719	0.141598	0.019922	0
1	720	0.141471	0.019918	0
1	721	0.141344	0.019914	0
1	722	0.141216	0.020037	0
1	723	0.141089	0.020033	0
1	724	0.140962	0.020029	0
1	725	0.140835	0.020152	0
1	726	0.140708	0.020148	0
1	727	0.140581	0.020144	0
1	728	0.140454	0.02014	0
1	729	0.140327	0.020263	0
1	730	0.1402	0.020259	0
1	731	0.140072	0.020256	0
1	732	0.139945	0.020379	0
1	733	0.139818	0.020375	0
1	734	0.139691	0.020371	0
1	735	0.139564	0.020495	0
1	736	0.139437	0.020491	0
1	737	0.13931	0.020614	0
1	738	0.139183	0.020611	0
1	739	0.139056	0.020734	0
1	740	0.138928	0.02073	0
1	741	0.138801	0.020727	0
1	742	0.138674	0.020723	0
1	743	0.138547	0.020847	0
1	744	0.13842	0.020843	0
